leaf	decision	reason	paths_considered	constraint_depth	tainted_members	selected_path
leaf-accept-a1	accepted	valid	1			fc662200da24da2480aa1b7a6996b3d7ee5b957fe4044f3f595387ea3176f3b2,dd503d512cc3f41f4fe8e2d5079c0c98552439ec2a3c34954ca51a3c45aacb00,ab2eaa520187d0f617296f407ff45962c4452b78de9a65dd9a76a52c87fdb34f
leaf-accept-deep	accepted	valid	1			f0236318b5c28044f26ecda4ae4d3ab05bfc61ceafeee6b192f2cd901fdd676d,9ef630984ec4390ebb8de767e6907fedc8e1ecba32da8c1415afeb2444d77ebb,dd503d512cc3f41f4fe8e2d5079c0c98552439ec2a3c34954ca51a3c45aacb00,ab2eaa520187d0f617296f407ff45962c4452b78de9a65dd9a76a52c87fdb34f
leaf-accept-direct	accepted	valid	1			9ff12929388d4cfcb0e0d74442e17628e80a20dfa272fdaea3badfb8dbe5f13d,ab2eaa520187d0f617296f407ff45962c4452b78de9a65dd9a76a52c87fdb34f
leaf-badsig	rejected	bad_signature	0			1a344ed8066d7c62ba66b103fff5641988f9f5585f077e36b9f2892f79b9de3f
leaf-crosspath	rejected	expired	2			b38f68c6e4116df7b5779e4b1f78231829ca57f3be60ec49a720e84f1f03d8e8,7e1eccc4bb5e880c212525086649d9379c7e970978463a175816854a2219ebaa,32f3361b036ab4e863046e022017ef81eec4351247a047b3022fc6ada6d80473,ab2eaa520187d0f617296f407ff45962c4452b78de9a65dd9a76a52c87fdb34f
leaf-excluded	rejected	name_constraint	1	1		19b249162efe12411b1d5e25f1b61c1689413fa45010eb2f87d8ebe4d03f3f0f,f38521396c50d8ddda82450712c21db33e26227b2dc6c24f53005f4b40c119b4,ab2eaa520187d0f617296f407ff45962c4452b78de9a65dd9a76a52c87fdb34f
leaf-expired	rejected	expired	1			da7edb3b5fa7e3580ca4b1027b30d4af9b77e0f43cc0b6b436e520f17c3294a3,dd503d512cc3f41f4fe8e2d5079c0c98552439ec2a3c34954ca51a3c45aacb00,ab2eaa520187d0f617296f407ff45962c4452b78de9a65dd9a76a52c87fdb34f
leaf-mesh-cascade	rejected	revoked	2		282b7727e49e973baf41a55c66563f598eb8f8b8c5d9f7fd2df183d692b72dff,44fe3a3ff34f9fc265543935fb9fde69baaa6ebbc5804be825991ac4ef6126bd	6678de4d6932dcd4385598b915182b1437fdbbbf276a053e5ad9a58e75f23ecb,44fe3a3ff34f9fc265543935fb9fde69baaa6ebbc5804be825991ac4ef6126bd,282b7727e49e973baf41a55c66563f598eb8f8b8c5d9f7fd2df183d692b72dff,1c3f91f6e0d0306e0b791359fb828dacad261e321c3d306c0df10eae8d68581c
leaf-multi	accepted	valid	2			208fe4a3f8562ced1be9ff54e0b1a3cbc8ea6a4d6d86958a0ce9af07822cba65,3319b28d6bfbc650f1a3691b8277bd17fbc233f857f1d70362b863926e942c89,ab2eaa520187d0f617296f407ff45962c4452b78de9a65dd9a76a52c87fdb34f
leaf-namefail	rejected	name_constraint	1	1		7285461ba10a359c5a0fe3e2828f5591ba944be7b9688d7873b43a2b27c86302,dd503d512cc3f41f4fe8e2d5079c0c98552439ec2a3c34954ca51a3c45aacb00,ab2eaa520187d0f617296f407ff45962c4452b78de9a65dd9a76a52c87fdb34f
leaf-namefail-deep	rejected	name_constraint	1	1		af7a04614e7859dd89a0f2a3e0ea83a33d5099cd38b826f75feeba78247c8e1d,9ef630984ec4390ebb8de767e6907fedc8e1ecba32da8c1415afeb2444d77ebb,dd503d512cc3f41f4fe8e2d5079c0c98552439ec2a3c34954ca51a3c45aacb00,ab2eaa520187d0f617296f407ff45962c4452b78de9a65dd9a76a52c87fdb34f
leaf-notyet	rejected	not_yet_valid	1			506db332e530bbebdcd160ee834488e1ae2f90350764249db0e1813ab57bb4d6,dd503d512cc3f41f4fe8e2d5079c0c98552439ec2a3c34954ca51a3c45aacb00,ab2eaa520187d0f617296f407ff45962c4452b78de9a65dd9a76a52c87fdb34f
