peak_id,h,k,l,tof_us,intensity,sigma_tof,extinct_flag
P01,1,0,0,28842.40171641029,1000.0,2.6,0
P02,0,1,0,30869.32839959539,1000.0,2.7,0
P03,0,0,1,41398.88644836243,1000.0,2.8,0
P04,1,1,0,21079.19517720367,500.0,2.9,0
P05,1,0,1,23669.064061721652,500.0,3.0,0
P06,0,1,1,24750.864069888383,500.0,3.1,0
P07,2,0,0,14429.500858205145,250.0,3.2,0
P08,0,2,0,15442.164199797695,250.0,3.3,0
P09,1,1,1,18787.286288288935,12.0,3.4,1
P10,2,1,0,13074.016444843212,200.0,3.5,0
P11,0,0,2,20705.34322418121,250.0,3.6,0
P12,2,0,1,13626.694364920804,200.0,3.7,0
