key,value
task_id,horseshoe-crab-satellite-regression
task_mode,regression
target_column,satellites
id_column,row_id
split_column,split_role
group_column,group_key
lambda_grid,3|5|7|11|15
feature_policy_file,feature_policies.csv
class_order,
positive_class,1
source_note,Rdatasets vcdExtra CrabSatellites CSV snapshot
model_family,scaled_mixed_ridge_knn_evidence
target_transform,log1p_when_nonnegative
feature_pair_stress_feature_count,5
robust_selection_pair_count,5
robust_weight_validation_rmse,1
robust_weight_stability_gap,0.25
robust_weight_pair_shift,0.03
