case_id,alpha,gamma,budget,min_ess,ridge,history_horizon,stability_limit
public-001,0.45000000,0.84000000,0.894133495765448,3.47738609718293,0.08000000,4,3.64191287745703
public-002,0.25000000,0.72000000,0.923957021554283,3.6193279798786,0.11000000,5,6.79135516911656
public-003,0.30000000,0.75000000,0.948131208434543,3.4818921887594,0.14000000,6,6.91104657461018
public-004,0.35000000,0.78000000,0.942809270873952,3.21932303652256,0.17000000,7,7.8353871878538
public-005,0.40000000,0.81000000,0.95927740672621,3.48226741196252,0.20000000,4,5.35582153645861
public-006,0.45000000,0.84000000,0.898186227176161,3.56328188487489,0.08000000,5,0.534359404948815
public-007,0.25000000,0.72000000,0.925407814503084,3.46792518363976,0.11000000,6,0.786165222027743
public-008,0.30000000,0.75000000,0.949405832991293,3.587864441712,0.14000000,7,8.45632662492301
public-009,0.35000000,0.78000000,0.941166485569059,3.46836226820154,0.17000000,4,7.97900427785251
public-010,0.40000000,0.81000000,0.962240336346935,3.26943311281069,0.20000000,5,6.19120359886576
public-011,0.45000000,0.84000000,0.897156369379263,3.53589458712631,0.08000000,6,1.19796585633237
public-012,0.25000000,0.72000000,0.928346766590589,3.60837461129353,0.11000000,7,12.5910727180473
public-013,0.30000000,0.75000000,0.946295285792979,3.46713131680194,0.14000000,4,14.0467854475862
public-014,0.35000000,0.78000000,0.945132697520135,3.26807930834797,0.17000000,5,8.85361427774393
public-015,0.40000000,0.81000000,0.965278433148328,3.41491860312159,0.20000000,6,14.243439127354
public-016,0.45000000,0.84000000,0.902060777211819,3.65337640961627,0.08000000,7,12.4464174982078
public-017,0.25000000,0.72000000,0.917823960686416,3.48744438967484,0.11000000,4,8.22629595478613
public-018,0.30000000,0.75000000,0.946271563993272,3.59441792886893,0.14000000,5,13.2235080921134
public-019,0.35000000,0.78000000,0.944677944903068,3.4038847320379,0.17000000,6,13.8252542905045
public-020,0.40000000,0.81000000,0.962695316136914,3.22648130632649,0.20000000,7,13.6287520625366
public-021,0.45000000,0.84000000,0.892969308427348,3.4903571455725,0.08000000,4,6.63402126435442
public-022,0.25000000,0.72000000,0.925701289795892,3.62373902835679,0.11000000,5,14.4720129218907
public-023,0.30000000,0.75000000,0.948589913311475,3.46072715574213,0.14000000,6,13.0083553452841
public-024,0.35000000,0.78000000,0.94603517691641,3.23725322390404,0.17000000,7,14.2832110335505
