planet_name,facility,log_mass_earth,radius_earth,radius_sigma_earth
Kepler-879 c,Kepler,-1.4388986164,0.400000,0.100000
Kepler-1869 c,Kepler,-0.4814860601,0.740000,0.075000
Kepler-1141 b,Kepler,-0.3214816210,0.820000,0.100000
Kepler-1173 b,Kepler,-0.1938200260,0.890000,0.150000
Kepler-1425 b,Kepler,-0.1084625423,0.940000,0.160000
Kepler-322 b,Kepler,0.0043213738,1.010000,0.110000
Kepler-1423 b,Kepler,0.0791812460,1.060000,0.080000
Kepler-20 f,Kepler,0.1461280357,0.952000,0.067000
Kepler-1590 b,Kepler,0.1903316982,1.140000,0.245000
Kepler-1390 b,Kepler,0.2455126678,1.180000,0.190000
Kepler-367 c,Kepler,0.2718416065,1.200000,0.160000
Kepler-1055 b,Kepler,0.3096301674,1.230000,0.065000
Kepler-150 b,Kepler,0.3222192947,1.250000,0.190000
Kepler-132 c,Kepler,0.3384564936,1.280000,0.250000
Kepler-354 c,Kepler,0.3560258572,1.310000,0.420000
Kepler-220 e,Kepler,0.3673559210,1.330000,0.120000
Kepler-295 d,Kepler,0.3838153660,1.360000,0.720000
Kepler-1229 b,Kepler,0.4048337166,1.400000,0.120000
Kepler-403 d,Kepler,0.4149733480,1.420000,0.245000
Kepler-406 c,Kepler,0.4329692909,0.850000,0.030000
Kepler-123 c,Kepler,0.4456042033,1.480000,0.300000
Kepler-1324 b,Kepler,0.4608978428,1.510000,0.085000
Kepler-825 b,Kepler,0.4712917111,1.530000,0.305000
Kepler-309 b,Kepler,0.4842998393,1.560000,0.140000
Kepler-55 f,Kepler,0.4983105538,1.590000,0.100000
Kepler-744 b,Kepler,0.5132176001,1.620000,0.105000
Kepler-46 d,Kepler,0.5224442335,1.640000,0.920000
Kepler-763 d,Kepler,0.5352941200,1.670000,0.100000
Kepler-830 b,Kepler,0.5477747054,1.700000,0.430000
Kepler-166 d,Kepler,0.5611013836,1.730000,0.125000
Kepler-1389 b,Kepler,0.5774917998,1.770000,0.095000
Kepler-769 c,Kepler,0.5865873047,1.790000,0.515000
Kepler-638 b,Kepler,0.6031443726,1.830000,0.435000
Kepler-529 b,Kepler,0.6148972160,1.860000,0.210000
Kepler-1596 b,Kepler,0.6304278750,1.900000,0.210000
Kepler-653 b,Kepler,0.6493348587,1.950000,0.275000
Kepler-1017 b,Kepler,0.6646419756,1.990000,0.205000
Kepler-1105 b,Kepler,0.6720978579,2.010000,0.155000
Kepler-363 d,Kepler,0.6866362693,2.050000,0.400000
Kepler-155 b,Kepler,0.7007037171,2.090000,0.210000
Kepler-814 b,Kepler,0.7109631190,2.120000,0.495000
Kepler-61 b,Kepler,0.7218106152,2.150000,0.130000
Kepler-1705 c,Kepler,0.7339992865,2.050000,0.145000
Kepler-1186 b,Kepler,0.7481880270,2.230000,0.290000
Kepler-1242 b,Kepler,0.7581546220,2.260000,0.130000
Kepler-1227 b,Kepler,0.7678976160,2.290000,0.375000
Kepler-998 b,Kepler,0.7774268224,2.320000,0.455000
Kepler-256 e,Kepler,0.7867514221,2.350000,0.580000
Kepler-1060 b,Kepler,0.7965743332,2.380000,0.370000
Kepler-680 b,Kepler,0.8088858674,2.420000,0.535000
Kepler-306 d,Kepler,0.8234742292,2.470000,0.240000
Kepler-885 b,Kepler,0.8325089127,2.500000,0.395000
Kepler-156 c,Kepler,0.8475726591,2.550000,0.190000
Kepler-500 b,Kepler,0.8561244442,2.580000,0.210000
Kepler-223 b,Kepler,0.8692317197,2.990000,0.225000
Kepler-1642 c,Kepler,0.8785217955,2.660000,0.250000
Kepler-417 c,Kepler,0.8864907252,2.690000,0.165000
Kepler-164 c,Kepler,0.8976270913,2.730000,0.520000
Kepler-480 b,Kepler,0.9111576087,2.780000,0.250000
Kepler-722 c,Kepler,0.9216864755,2.820000,0.445000
Kepler-172 c,Kepler,0.9319661147,2.860000,0.530000
Kepler-184 c,Kepler,0.9444826722,1.970000,1.110000
Kepler-22 b,Kepler,0.9590413923,2.100000,0.120000
Kepler-1490 b,Kepler,0.9768083373,3.040000,0.500000
Kepler-175 c,Kepler,0.9912260757,3.100000,1.560000
Kepler-1593 b,Kepler,1.0086001718,3.170000,0.290000
Kepler-1080 b,Kepler,1.0334237555,3.280000,0.815000
Kepler-684 b,Kepler,1.0492180227,3.360000,0.300000
Kepler-82 b,Kepler,1.0845762779,4.070000,0.170000
Kepler-608 b,Kepler,1.1105897103,3.640000,0.580000
Kepler-293 c,Kepler,1.1461280357,3.830000,1.630000
Kepler-258 b,Kepler,1.1903316982,4.060000,2.710000
Kepler-350 b,Kepler,1.2278867046,1.850000,0.380000
Kepler-318 b,Kepler,1.2988530764,4.710000,0.830000
Kepler-231 c,Kepler,1.3820170426,1.930000,0.190000
Kepler-1625 b,Kepler,1.4857214265,6.060000,0.700000
Kepler-799 b,Kepler,1.5786392100,6.880000,0.710000
Kepler-462 b,Kepler,1.7315887652,3.000000,0.150000
Kepler-1517 b,Kepler,1.8369567371,9.760000,2.360000
Kepler-63 b,Kepler,2.0791812460,6.110000,0.200000
K2-89 b,K2,-0.7695510786,0.615000,0.080000
K2-210 b,K2,-0.2471835688,0.860000,0.200000
EPIC 220492298 b,K2,-0.0282604091,0.990000,0.100000
K2-72 d,K2,0.0043213738,1.010000,0.120000
EPIC 201170410.02,K2,0.0606978404,1.047000,0.266500
K2-156 b,K2,0.1367205672,1.100000,0.075000
K2-138 f,K2,0.2121876044,2.904000,0.137500
EPIC 206042996 c,K2,0.2718416065,1.200000,0.150000
K2-336 b,K2,0.2966651903,1.220000,0.070000
K2-32 e,K2,0.3222192947,1.212000,0.049000
K2-407 b,K2,0.3404441148,1.283000,0.093000
K2-369 b,K2,0.3579348470,1.313000,0.098000
K2-368 b,K2,0.3692158574,1.332000,0.103500
K2-190 b,K2,0.3820170426,1.356737,0.139047
K2-270 b,K2,0.3944516808,1.380000,0.110000
K2-201 b,K2,0.4048337166,1.400067,0.106255
K2-219 c,K2,0.4248816366,1.438397,0.202750
EPIC 212297394 b,K2,0.4456042033,1.480000,0.120000
K2-223 c,K2,0.4563660331,1.500000,0.100000
K2-350 b,K2,0.4756711883,1.540000,0.130000
K2-383 b,K2,0.4871383755,1.564000,0.112000
K2-68 b,K2,0.4941545940,1.580000,0.230000
K2-133 c,K2,0.5051499783,1.603000,0.089000
K2-149 b,K2,0.5224442335,1.640000,0.190000
K2-208 b,K2,0.5378190951,1.674622,0.107606
EPIC 206024342 b,K2,0.5477747054,1.700000,0.450000
K2-252 b,K2,0.5658478187,1.740000,0.145000
K2-170 c,K2,0.5910646070,1.801765,0.201730
K2-168 b,K2,0.6148972160,1.860000,0.175000
K2-187 e,K2,0.6304278750,1.900000,0.300000
K2-138 g,K2,0.6354837468,3.013000,0.277000
K2-35 c,K2,0.6414741105,1.930000,0.120000
K2-126 b,K2,0.6570558529,1.970000,0.120000
K2-101 b,K2,0.6683859167,2.000000,0.105000
K2-243 c,K2,0.6720978579,2.010000,0.140000
K2-117 b,K2,0.6794278966,2.030000,0.100000
K2-46 b,K2,0.6866362693,2.050000,0.240000
HD 3167 b,K2,0.6963563887,1.670000,0.135000
K2-4 b,K2,0.7041505168,2.100000,0.195000
K2-215 b,K2,0.7126497016,2.123812,0.208514
K2-243 b,K2,0.7283537820,2.170000,0.130000
K2-325 b,K2,0.7387805585,2.200000,0.145000
K2-17 b,K2,0.7481880270,2.230000,0.200000
K2-355 b,K2,0.7551122664,2.250000,0.190000
K2-401 b,K2,0.7589118924,2.262000,0.200500
K2-356 b,K2,0.7678976160,2.290000,0.135000
K2-202 b,K2,0.7715874809,2.301656,0.156817
K2-259 b,K2,0.7774268224,2.320000,0.185000
K2-275 b,K2,0.7839035793,2.340000,0.260000
Wolf 503 b,K2,0.7965743332,2.043000,0.069000
K2-37 c,K2,0.8055008582,2.410000,0.105000
K2-43 c,K2,0.8088858674,2.420000,0.185000
K2-198 d,K2,0.8142475957,2.438000,0.093000
K2-409 b,K2,0.8273692731,2.482000,0.166000
K2-179 b,K2,0.8363241157,2.512679,0.142529
K2-16 c,K2,0.8444771757,2.540000,0.795000
K2-197 b,K2,0.8500332577,2.560000,0.160000
