id,grp,tier,mag,tgt
p1,amber,up,0.7,1
p2,cyan,dn,1.4,0
p3,violet,up,0.6,0
p4,amber,dn,1.3,1
p5,cyan,up,0.5,1
p6,violet,dn,1.2,1
p7,amber,up,0.4,1
p8,cyan,dn,1.1,0
p9,violet,up,0.3,0
p10,amber,dn,1.0,1
p11,cyan,up,0.2,1
p12,violet,dn,0.9,1
p13,amber,up,0.1,0
p14,cyan,dn,0.8,0
p15,violet,up,0.0,0
p16,amber,dn,0.7,1
p17,cyan,up,1.4,1
p18,violet,dn,0.6,0
p19,amber,up,1.3,1
p20,cyan,dn,0.5,0
p21,violet,up,1.2,1
p22,amber,dn,0.4,1
p23,cyan,up,1.1,1
p24,violet,dn,0.3,0
p25,amber,up,1.0,1
p26,cyan,dn,0.2,0
p27,violet,up,0.9,1
p28,amber,dn,0.1,0
p29,cyan,up,0.8,1
p30,violet,dn,0.0,0
p31,amber,up,0.7,1
p32,cyan,dn,1.4,0
p33,violet,up,0.6,0
p34,amber,dn,1.3,1
p35,cyan,up,0.5,1
p36,violet,dn,1.2,1
p37,amber,up,0.4,1
p38,cyan,dn,1.1,0
p39,violet,up,0.3,0
p40,amber,dn,1.0,1
p41,cyan,up,0.2,1
p42,violet,dn,0.9,1
p43,amber,up,0.1,0
p44,cyan,dn,0.8,0
p45,violet,up,0.0,0
p46,amber,dn,0.7,1
p47,cyan,up,1.4,1
p48,violet,dn,0.6,0
p49,amber,up,1.3,1
p50,cyan,dn,0.5,0
p51,violet,up,1.2,1
p52,amber,dn,0.4,1
p53,cyan,up,1.1,1
p54,violet,dn,0.3,0
p55,amber,up,1.0,1
p56,cyan,dn,0.2,0
p57,violet,up,0.9,1
p58,amber,dn,0.1,0
p59,cyan,up,0.8,1
p60,violet,dn,0.0,0
p61,amber,up,0.7,1
p62,cyan,dn,1.4,0
p63,violet,up,0.6,0
p64,amber,dn,1.3,1
p65,cyan,up,0.5,1
p66,violet,dn,1.2,1
p67,amber,up,0.4,1
p68,cyan,dn,1.1,0
p69,violet,up,0.3,0
p70,amber,dn,1.0,1
p71,cyan,up,0.2,1
p72,violet,dn,0.9,1
p73,amber,up,0.1,0
p74,cyan,dn,0.8,0
p75,violet,up,0.0,0
p76,amber,dn,0.7,1
p77,cyan,up,1.4,1
p78,violet,dn,0.6,0
p79,amber,up,1.3,1
p80,cyan,dn,0.5,0
