config_id,query_index,log_mass_earth
cfg_kepler_tight,0,-1.8388986164
cfg_kepler_tight,1,-0.9601923382
cfg_kepler_tight,2,-0.4014838405
cfg_kepler_tight,3,-0.2576508235
cfg_kepler_tight,4,-0.0520705843
cfg_kepler_tight,5,1.1007037171
cfg_kepler_broad,0,-1.8388986164
cfg_kepler_broad,1,-0.9601923382
cfg_kepler_broad,2,-0.4014838405
cfg_kepler_broad,3,-0.2576508235
cfg_kepler_broad,4,-0.0520705843
cfg_kepler_broad,5,1.3216864755
cfg_k2_tight,0,-1.1695510786
cfg_k2_tight,1,-0.5083673237
cfg_k2_tight,2,-0.1377219890
cfg_k2_tight,3,0.0987092038
cfg_k2_tight,4,0.1744540858
cfg_k2_tight,5,1.1126497016
cfg_k2_mid,0,-1.1695510786
cfg_k2_mid,1,-0.5083673237
cfg_k2_mid,2,-0.1377219890
cfg_k2_mid,3,0.0987092038
cfg_k2_mid,4,0.1744540858
cfg_k2_mid,5,1.2692317197
cfg_tess_tight,0,-1.2996294549
cfg_tess_tight,1,-0.4934380756
cfg_tess_tight,2,0.0048316583
cfg_tess_tight,3,0.1477835500
cfg_tess_tight,4,0.2498435413
cfg_tess_tight,5,1.4374264979
cfg_tess_broad,0,-1.2996294549
cfg_tess_broad,1,-0.4934380756
cfg_tess_broad,2,0.0048316583
cfg_tess_broad,3,0.1477835500
cfg_tess_broad,4,0.2498435413
cfg_tess_broad,5,2.3493507425
cfg_kepler_steep,0,-1.8388986164
cfg_kepler_steep,1,-0.9601923382
cfg_kepler_steep,2,-0.4014838405
cfg_kepler_steep,3,-0.2576508235
cfg_kepler_steep,4,-0.0520705843
cfg_kepler_steep,5,1.1007037171
cfg_k2_steep,0,-1.1695510786
cfg_k2_steep,1,-0.5083673237
cfg_k2_steep,2,-0.1377219890
cfg_k2_steep,3,0.0987092038
cfg_k2_steep,4,0.1744540858
cfg_k2_steep,5,1.1126497016
cfg_tess_steep,0,-1.2996294549
cfg_tess_steep,1,-0.4934380756
cfg_tess_steep,2,0.0048316583
cfg_tess_steep,3,0.1477835500
cfg_tess_steep,4,0.2498435413
cfg_tess_steep,5,1.4374264979
