case_id,policy_id,cluster,t,state,next_state,action,group,item_id,reward,cost,x1,x2,target_prob,behavior_prob,source_id
public-001,P0,0,0,0,3,0,0,0,0.287264754401,0.626110358291,0.250000000000,0.000000000000,0.171141635940,0.160000000000,538515
public-001,P0,0,1,3,0,0,1,1,0.594462564306,0.401637324626,0.135075576467,0.056448003224,0.147300338299,0.265000000000,538524
public-001,P0,0,2,0,2,2,0,2,0.641007316847,0.796832882660,-0.104036709137,0.000000000000,0.149810162550,0.230000000000,538524
public-001,P0,0,3,2,1,2,0,3,0.303029376121,0.876033536804,-0.247498124150,0.363718970730,0.150600346417,0.160000000000,538593
public-001,P0,0,4,1,2,2,1,4,0.950667709099,0.734356301229,-0.163410905216,0.336588393923,0.196962998065,0.265000000000,538635
public-001,P0,0,5,2,0,0,0,5,0.834307575745,0.393584926784,0.070915546366,0.363718970730,0.144853960956,0.230000000000,538533
public-001,P0,0,6,0,3,0,0,6,0.805070670171,0.357894606161,0.240042571663,0.000000000000,0.168634346907,0.160000000000,538525
public-001,P0,0,7,3,0,0,1,7,0.541446561591,0.350093647314,0.188475563586,0.056448003224,0.148246804926,0.265000000000,538596
public-001,P0,1,0,1,2,1,0,10,0.170347047101,0.771302189058,0.350000000000,0.336588393923,0.283453334526,0.265000000000,538566
public-001,P0,1,1,2,0,3,1,11,0.771895847722,1.143793343328,0.235075576467,0.363718970730,0.198506749699,0.230000000000,538524
public-001,P0,1,2,0,3,2,1,12,0.286860422345,1.101320357681,-0.004036709137,0.000000000000,0.172607361199,0.265000000000,538558
public-001,P0,1,3,3,0,3,0,13,0.588500670620,1.118373714993,-0.147498124150,0.056448003224,0.249431823753,0.265000000000,538626
public-001,P0,1,4,0,2,1,1,14,0.741394707231,0.658748442652,-0.063410905216,0.000000000000,0.170949017188,0.230000000000,538566
public-001,P0,1,5,2,1,0,1,15,0.751974396466,0.538553640251,0.170915546366,0.363718970730,0.166896955014,0.265000000000,538626
public-001,P0,1,6,1,2,1,0,16,0.658058944087,0.664957319316,0.340042571663,0.336588393923,0.279300637065,0.265000000000,538566
public-001,P0,1,7,2,0,3,1,17,0.991203480599,1.149610814009,0.288475563586,0.363718970730,0.199782239057,0.230000000000,538566
public-001,P0,2,0,2,0,2,0,20,-0.078822443243,1.021508977145,0.450000000000,0.363718970730,0.246016101664,0.230000000000,538635
public-001,P0,2,1,0,3,1,0,21,0.544725527648,0.848727035097,0.335075576467,0.000000000000,0.228714298566,0.265000000000,538566
public-001,P0,2,2,3,0,1,1,22,0.469111859668,1.031890005999,0.095963290863,0.056448003224,0.149810162550,0.230000000000,538524
public-001,P0,2,3,0,2,0,0,23,0.734797911079,0.679431084577,-0.047498124150,0.000000000000,0.216487997975,0.230000000000,538524
public-001,P0,2,4,2,1,3,0,24,0.786811688220,1.284460100967,0.036589094784,0.363718970730,0.196962998065,0.265000000000,538566
public-001,P0,2,5,1,2,3,1,25,0.441711996729,1.369195795270,0.270915546366,0.336588393923,0.144853960956,0.230000000000,538566
public-001,P0,2,6,2,0,2,0,26,0.336923002180,1.200947526080,0.440042571663,0.363718970730,0.242411873679,0.230000000000,538558
public-001,P0,2,7,0,3,1,0,27,0.774488097166,0.882850093118,0.388475563586,0.000000000000,0.230183884131,0.265000000000,538524
public-001,P0,3,0,3,2,3,0,30,-0.108277750916,1.404223730228,0.550000000000,0.056448003224,0.208578868802,0.195000000000,538629
public-001,P0,3,1,2,3,3,1,31,0.279661946993,1.408456694393,0.435075576467,0.363718970730,0.138091651964,0.160000000000,538625
public-001,P0,3,2,3,1,1,0,32,0.452419907139,1.035621416582,0.195963290863,0.056448003224,0.172607361199,0.265000000000,538637
public-001,P0,3,3,1,0,1,0,33,0.271000373824,1.079890280967,0.052501875850,0.336588393923,0.183544172196,0.195000000000,538524
public-001,P0,3,4,0,1,1,1,34,1.157922639677,1.003507166785,0.136589094784,0.000000000000,0.118921055435,0.160000000000,538518
public-001,P0,3,5,1,3,3,0,35,0.463690440022,1.353974305490,0.370915546366,0.336588393923,0.166896955014,0.265000000000,538629
public-001,P0,3,6,3,2,3,0,36,0.622543060834,1.495546261435,0.540042571663,0.056448003224,0.205523110293,0.195000000000,538524
public-001,P0,3,7,2,3,3,1,37,1.047789628538,1.361792864710,0.488475563586,0.363718970730,0.138978948909,0.160000000000,538566
public-001,P1,0,0,1,2,2,1,100,0.393843919650,0.801246608624,0.250000000000,0.256588393923,0.446962018021,0.265000000000,538524
public-001,P1,0,1,2,0,0,0,101,0.232690843648,0.548640711875,0.135075576467,0.283718970730,0.175481760600,0.230000000000,538567
