row_id,split_role,group_key,color,spine,width,weight,satellites
1,validation,medium,medium,bothbroken,28.3,3.05,8.0
2,fit,darkmedium,darkmedium,bothbroken,26.0,2.6,4.0
3,fit,darkmedium,darkmedium,bothbroken,25.6,2.15,0.0
4,fit,dark,dark,onebroken,21.0,1.85,0.0
5,validation,medium,medium,bothbroken,29.0,3.0,1.0
6,fit,lightmedium,lightmedium,onebroken,25.0,2.3,3.0
7,fit,dark,dark,bothbroken,26.2,1.3,0.0
8,validation,medium,medium,bothbroken,24.9,2.1,0.0
9,validation,medium,medium,bothgood,25.7,2.0,8.0
10,validation,medium,medium,bothbroken,27.5,3.15,6.0
11,fit,lightmedium,lightmedium,bothgood,26.1,2.8,5.0
12,fit,darkmedium,darkmedium,bothbroken,28.9,2.8,4.0
13,fit,medium,medium,bothgood,30.3,3.6,3.0
14,fit,medium,medium,bothbroken,22.9,1.6,4.0
15,validation,darkmedium,darkmedium,bothbroken,26.2,2.3,3.0
16,validation,darkmedium,darkmedium,bothbroken,24.5,2.05,5.0
17,fit,medium,medium,bothbroken,30.0,3.05,8.0
18,fit,medium,medium,bothbroken,26.2,2.4,3.0
19,validation,medium,medium,bothbroken,25.4,2.25,6.0
20,test,medium,medium,bothbroken,25.4,2.25,
21,fit,dark,dark,bothbroken,27.5,2.9,0.0
22,validation,dark,dark,bothbroken,27.0,2.25,3.0
23,test,medium,medium,onebroken,24.0,1.7,
24,test,medium,medium,bothgood,28.7,3.2,
25,test,darkmedium,darkmedium,bothbroken,26.5,1.97,
26,fit,medium,medium,bothbroken,24.5,1.6,1.0
27,fit,darkmedium,darkmedium,bothbroken,27.3,2.9,1.0
28,fit,medium,medium,bothbroken,26.5,2.3,4.0
29,test,medium,medium,bothbroken,25.0,2.1,
30,fit,darkmedium,darkmedium,bothbroken,22.0,1.4,0.0
31,fit,lightmedium,lightmedium,bothgood,30.2,3.28,2.0
32,validation,medium,medium,onebroken,25.4,2.3,0.0
33,fit,medium,medium,bothgood,24.9,2.3,6.0
34,test,dark,dark,bothbroken,25.8,2.25,
35,test,darkmedium,darkmedium,bothbroken,27.2,2.4,
36,validation,medium,medium,bothbroken,30.5,3.32,3.0
37,fit,dark,dark,bothbroken,25.0,2.1,8.0
38,validation,medium,medium,bothbroken,30.0,3.0,9.0
39,fit,medium,medium,bothgood,22.9,1.6,0.0
40,fit,medium,medium,bothbroken,23.9,1.85,2.0
41,fit,medium,medium,bothbroken,26.0,2.28,3.0
42,fit,medium,medium,bothbroken,25.8,2.2,0.0
43,fit,darkmedium,darkmedium,bothbroken,29.0,3.28,4.0
44,fit,lightmedium,lightmedium,bothgood,26.5,2.35,0.0
45,fit,darkmedium,darkmedium,bothbroken,22.5,1.55,0.0
46,fit,medium,medium,bothbroken,23.8,2.1,0.0
47,fit,darkmedium,darkmedium,bothbroken,24.3,2.15,0.0
48,test,medium,medium,bothgood,26.0,2.3,
49,validation,dark,dark,bothbroken,24.7,2.2,0.0
50,fit,medium,medium,bothgood,22.5,1.6,1.0
51,validation,medium,medium,bothbroken,28.7,3.15,3.0
52,validation,lightmedium,lightmedium,bothgood,29.3,3.2,4.0
53,fit,medium,medium,bothgood,26.7,2.7,5.0
54,fit,dark,dark,bothbroken,23.4,1.9,0.0
55,fit,lightmedium,lightmedium,bothgood,27.7,2.5,6.0
56,fit,medium,medium,bothbroken,28.2,2.6,6.0
57,fit,dark,dark,bothbroken,24.7,2.1,5.0
58,validation,medium,medium,bothgood,25.7,2.0,5.0
59,validation,medium,medium,bothgood,27.8,2.75,0.0
60,test,darkmedium,darkmedium,bothgood,27.0,2.45,
61,fit,medium,medium,bothbroken,29.0,3.2,10.0
62,test,darkmedium,darkmedium,bothbroken,25.6,2.8,
63,validation,darkmedium,darkmedium,bothbroken,24.2,1.9,0.0
64,validation,darkmedium,darkmedium,bothbroken,25.7,1.2,0.0
65,fit,darkmedium,darkmedium,bothbroken,23.1,1.65,0.0
66,fit,medium,medium,bothbroken,28.5,3.05,0.0
67,fit,medium,medium,bothgood,29.7,3.85,5.0
68,test,darkmedium,darkmedium,bothbroken,23.1,1.55,
69,validation,darkmedium,darkmedium,bothbroken,24.5,2.2,1.0
70,test,medium,medium,bothbroken,27.5,2.55,
71,test,medium,medium,bothbroken,26.3,2.4,
72,test,medium,medium,bothbroken,27.8,3.25,
73,fit,medium,medium,bothbroken,31.9,3.33,2.0
74,fit,medium,medium,bothbroken,25.0,2.4,5.0
75,test,darkmedium,darkmedium,bothbroken,26.2,2.22,
76,test,darkmedium,darkmedium,bothbroken,28.4,3.2,
77,fit,lightmedium,lightmedium,onebroken,24.5,1.95,6.0
78,fit,medium,medium,bothbroken,27.9,3.05,7.0
79,fit,medium,medium,onebroken,25.0,2.25,6.0
80,fit,darkmedium,darkmedium,bothbroken,29.0,2.92,3.0
81,validation,medium,medium,bothgood,31.7,3.73,4.0
82,fit,medium,medium,bothbroken,27.6,2.85,4.0
83,fit,dark,dark,bothbroken,24.5,1.9,0.0
84,fit,darkmedium,darkmedium,bothbroken,23.8,1.8,0.0
85,fit,medium,medium,bothbroken,28.2,3.05,8.0
86,fit,darkmedium,darkmedium,bothbroken,24.1,1.8,0.0
