v0,v1,v2
0,1,10
1,2,11
1,10,11
2,3,12
2,11,12
3,4,13
3,12,13
4,5,14
4,13,14
5,6,15
5,14,15
6,7,16
6,15,16
7,8,17
7,16,17
8,9,18
8,17,18
9,18,19
10,11,20
11,12,21
11,20,21
12,13,22
12,21,22
13,14,23
13,22,23
14,15,24
14,23,24
15,16,25
15,24,25
16,17,26
16,25,26
17,18,27
17,26,27
18,19,28
18,27,28
19,28,29
20,21,30
21,22,31
21,30,31
22,23,32
22,31,32
23,24,33
23,32,33
24,25,34
24,33,34
25,26,35
25,34,35
26,27,36
26,35,36
27,28,37
27,36,37
28,29,38
28,37,38
29,38,39
30,31,40
30,36,57
31,32,41
31,40,41
32,33,42
32,41,42
33,34,43
33,42,43
34,35,44
34,43,44
35,36,45
35,44,45
36,37,46
36,45,46
37,38,47
37,46,47
38,39,48
38,47,48
39,48,49
40,41,50
41,42,51
41,50,51
42,43,52
42,51,52
43,44,53
43,52,53
44,45,54
44,53,54
45,46,55
45,54,55
46,47,56
46,55,56
47,48,57
47,56,57
48,49,58
48,57,58
49,58,59
50,51,60
51,52,61
51,60,61
52,53,62
52,61,62
53,54,63
53,62,63
54,55,64
54,63,64
55,56,65
55,64,65
56,57,66
56,65,66
57,58,67
57,66,67
58,59,68
58,67,68
59,68,69
60,61,70
61,62,71
61,70,71
62,63,72
62,71,72
63,64,73
63,72,73
64,65,74
64,73,74
65,66,75
65,74,75
66,67,76
66,75,76
67,68,77
67,76,77
68,69,78
68,77,78
69,78,79
70,71,80
71,72,81
71,80,81
72,73,82
72,81,82
73,74,83
73,82,83
74,75,84
74,83,84
75,76,85
75,84,85
76,77,86
76,85,86
77,78,87
77,86,87
78,79,88
78,87,88
79,88,89
80,81,90
81,82,91
81,90,91
82,83,92
82,91,92
83,84,93
83,92,93
84,85,94
84,93,94
85,86,95
85,94,95
86,87,96
86,95,96
87,88,97
87,96,97
88,89,98
88,97,98
89,98,99
