dir_id,slot,t
0,0,-1
0,1,2812818662012819872
0,2,4351181031996151335
0,3,6169701269256675638
0,4,8985376709144584944
1,0,-1
1,1,2473948667661077537
1,2,4198608963298045444
1,3,5451490867113612722
1,4,8946363424484118630
2,0,8335820824679506
2,1,2443373818838827255
2,2,4049884106751410655
2,3,5272166443178858640
2,4,8991466274096671519
3,0,-24856503955878525930
3,1,-8346801882365191403
3,2,-1498454071600392263
3,3,1276921907030603221
3,4,21456246519658954549
4,0,27608055210826555454999999999999999999
4,1,96296312998921289751000000000000000001
4,2,120653064930823883973000000000000000000
4,3,138640797389236948551000000000000000000
4,4,209354279988339986454000000000000000000
5,0,-48264559399792198296277588775657663837
5,1,-21878827636046447898621966284274715992
5,2,-11722713749658437222835858417666947802
5,3,-5734283256495162038418161439302354050
5,4,29225068579410116424880544540695088428
6,0,-110665608494286332187000000000000000001
6,1,-70148410053759819561353548835339175284
6,2,-60429905895240611327653905928315948498
6,3,-50486056736398165794785321903454734993
6,4,-10799592579336545527118007482845744399
