vid,x,y,z
0,9000000000000000000,9000000000000000000,9000000000000000000
1,0,0,9000000000000000000
2,6415062980636866956,1568041497045721265,2012368981083089734
3,2258876879974065282,937911466140091811,5504005577750190014
4,1879312004481151458,1021003092072031371,8247771103764222926
5,7738286879827809092,3547470721680928065,7934242104338805032
6,8373103672703447130,1452615975925420042,2736344787178099695
7,8826476038867936732,2511483448430836,193998334763527322
8,4572974578246059079,8211957844148652942,4883886429818492961
9,4483609574742827456,8961442519471295732,5818568687734571488
10,3957055171356025224,1088374330895269078,4963283240218605452
11,7574866785163153038,5095835007818877901,6474153833928750143
12,379846124721827510,7483942154807002004,2706821892936911876
13,5024786731855787815,5930688708002737994,4333322410837911958
14,1143019021640619758,8272299410546121446,2443373818838827254
15,8904217109983871374,5534770935048327310,530071275904456170
16,6006348063803495758,1045411759116080430,8200820957668526808
17,8643922113063301664,768415772833252368,4493042441227719243
18,7533208174598911285,1899158208619617152,5253614240682891940
19,6533341226341048063,47705373435473474,4858416705059305597
20,6289559584488303687,4546023947722752983,328614801449256635
21,6696974940730882301,5046858020501034651,5776696715809232671
22,5686949991322920104,1050235289390597144,101078769882369289
23,539463496718465592,2901208488886999465,186374600451829535
24,3684371807696014606,8770619832677413918,3146959768662075409
25,7335143687206698801,6412255217956902469,8304015201854073611
26,868594216411982644,2724052091211877244,524232095363441823
27,6023543162114588408,8344024684186597843,6087184146407583309
28,5654303033473085415,5682733206460594216,5062180430359844324
29,7022455239374427623,4704955741625954366,7140670045842508344
30,7524965619590251520,1612729385265325951,4429468797335827042
31,4801927918756806753,5050603883501027824,1969802608868383975
32,1653683584805734105,6559888561551142655,7576205389317428101
33,62365871993906519,7663524057250055223,2565895239045279046
34,6820416743291459986,2237052550105851178,4155521692914773934
35,868062816949789545,7794065974698983510,5662846334283859596
36,6592456803588294912,8944391788018899919,1632999531553731043
37,1579254238903197510,3435282166219099791,7783368466176894951
38,1650304780430199814,1503788134967443671,3233576537876140616
39,7321812169962739966,1783366062641928247,5937084768025636482
40,7036735354994004173,7464014829366006907,7040457677309096356
41,8862557690695802003,1590115856055798853,2953222556673275141
42,6003735103311379345,2840127627245328734,8991466274096671519
43,5531607972508018526,4621031760604567784,2335164048386689401
44,4922529906175801075,4541821474328558338,1160085276690031506
45,1851714349362084453,1135573368407964619,80273972321790423
46,4698092890775502886,5471020039559284885,6834143004270536542
47,3147531386230133515,2933296430810638818,3838062593298245283
48,6973276787331727139,5086956239027033260,8921483720679883683
49,5189293116900666899,58550927587733128,5013924176360969969
50,1827900349700216044,7846033003452471305,5426086796630297164
51,4677155017901352216,3442263870353483991,2210319690788667265
52,792260514008465148,6438134603636099819,8507921386672334957
53,6130909152977468749,7099986698634186157,1863572390792150531
54,1320581298383982280,254819766643377041,6144738872052045543
55,3419482392274548242,8018419431592491777,2570372319402400104
56,3592046922428768227,7392858766657371415,7002048068305313051
57,7212616861828690140,7048683386238224508,6986720426277155059
58,1630884083704252552,3169049843081577604,229673197774534006
59,2867686025799629141,4430348837479066319,3237156604313018511
60,5822253142096931642,3343928751534705847,6776523859548368908
61,487500952860525594,67517376408422931,6027307384003540329
62,6777554348351525425,4813648344906514327,4251639906887143252
63,7539250427167040791,463125058581885668,6535369212375131173
64,7045092918553055646,5001740794725318467,5296291667035284887
65,7140535699114950293,5336209831691814371,4647615406047209210
66,8767735017558294519,3980876508658596438,7186287643015989532
67,917387469517274464,1873826000065590924,2543543195652451471
68,3677265308391398617,3568735160082791670,4501216794675259739
69,6731251039982127316,3401837285064263471,4178139641617031871
70,4028140174047257911,7826447581529775203,5529161743900293906
71,8025624309219957319,6392265308220210147,7010128753986063372
72,7629149166534450067,7097520824507488506,7311186047484168605
73,398987682519010502,6283610638266675686,3999077544867054587
74,5514534896025296030,5782092303920115038,2458400768549259463
75,5042540309575693376,339761599918007761,2078515100026936771
76,5314182975414477346,4368166951907482153,7404456763786373004
77,6449432070323061938,6463318576579802701,2838556701984377083
78,5290696762647859028,7217145566715133316,7216227665430308728
79,1561841277674179835,8686767187566895220,1230566704513700801
80,5660585779593978289,3834726822313011493,10594968629403344
81,6104216271440600107,8157135318664058380,1788481125572167249
82,7657255126487688325,5780639951904698293,6066612520783734592
83,6067665284370784235,780938855971849107,689752324244642386
84,8973417327687009487,5209897919425592720,8407617331351031110
85,8199927830084380616,4965790365736330678,5917406411735548244
86,4388816289545620753,8219769033771768029,3229817806892580846
87,3608266149800404810,4633035061389962149,7301044708901553959
88,8237546742561116149,4045426568820463610,7591531190200020571
89,193916171322824150,2473948667661077536,7588386553192024269
90,4416396286414332243,3770682693874875439,3924082877484284489
91,1695474484301005434,7927015482595949978,5269881125964483001
92,4876651026562446251,6836665999127304974,3754718869122188035
93,7253345770987340862,3346359907393498773,5992540866464550948
94,2400150094408527992,5004911515973501784,7151409642411610681
95,3856530057575633086,7607124389293674581,743951763897653705
96,2350810014564436819,6629844457738461690,6182892444680379960
97,3338382009436986161,3998375309058155998,439274915709253667
98,6254138488555076479,3501587395159296092,1148379127268319348
99,2130979817689441694,4580413831724082317,8808350398578554364
