id,a,b,ciphertext
c01,173,0x14509ba017c683b73d17fbf5,0x4ac7958b6a8b697d43a5ff323d478628d66c39ed14613a7260bbe186d0c6771d215ef64121f4daa970e092dafb0c832685fddbf6dd3877cbcc851f456c062bd5c069c131f3f1ee12ece120ab02387f3136e09d62fc03188f
c02,159,0x7f4af06eaded1e39f9931f11,0x13eaf5f756697f8ab39507f01a5bd6dd900ea0cad3bc34744b1ea248877297ae69930f11e5668187df6ee27afd6cad3d4f2e002f8237ea15e8866b023552120909f1c1838cfe92a68e75f70d93536f29bcef373545e13f8b
c03,49,0x5196a0bdde48f564377e429b,0x2ef93f27f2c64696b15c7dd0bd7246ff9d83ee6045eaef0d3f31f256ca65ee2fcd147db35837c831bbae33ea02abdb2fb39f51a1fa317b03ca5fd608d667048f00094f25b4c0e2e6c816fb62c3ba90d8cd595d178ed90062
c04,193,0x5b5b4ae9047a8e2aa39707d7,0x84de7550052e6f1cb14908eb626fe20bbd84ad033270bec6515275d716581f5b0381f6ef2dbdf32042053cc0792b2b8f33f61a72dfbe8557743d85e41a22d8ee2cbe9cd04226cebc13c809bb13d325545c5c9f564c329274
c05,63,0x2435ccb2cd7587fb65bd49,0x80ec1279334edad28af2cd16906e70f3b008ae6170b50a903e9181bae74e13f906cdafc35d1444186ab5b7e672d4896fec320fea56a3be1073790a7ad5eb25744ebb557caa1bce27991f3a088f3fb28b2be6a337dc3bb345
c06,7,0x4529a4b3c06b62b0a5bb3985,0x4f4e72fee3247b53e6de10cea10b1c6863bf5289a7ae1e633c88eb54831430dbb75982eb494c9040967fd4bc416e05f0aaa20bec180833c070994ed1b6460d5e23969520b453d436fceec5adb2575ea443a15c1431c5621d
c07,27,0x3099b4bb6d2ff4af1db14a0d,0x65b746852accee8722e10800ec89150af99843cbb2955a7cb7355a4209fc006e7d0bbe1b6aff96edd30792e314e2cc3903f58bcabaddb8be16b53c2519cb5ec0ccd807798e03e516863c819666cf446ff036dd9d91ba0b5b
c08,143,0xaedb3ed54d169f6c2330c81f,0x30f94178ae3bc55e824952d23c6cce2808cfe1b50d17200aeb8cc829dc213ade11886b19a24755d801c2b4b066e552f978953dcda595529ea1b3d4d6840407512121c085e2a914f57c95d55fa1ace3840bda9df401caf6e8
c09,71,0x91e7db3103ed47016d130999,0x45c9e0cfac271b407fe03e279f8a291500318b186205df7b673ef13db5760cf34a325637307d446ec2ec385a8fc069e86d13c33c6c23598b32c388f73179adb8f0b857f3c368ab3b0890f8bdb539a707ba8e62ce530d9606
c10,31,0x9dd94acc6b4b7e68745841ef,0x78342f0c4657a5e8e741c3d384a3f7046c8acab39c98104adf03a74efdc78258897fb4fe2dae4691f34b329b065957e6903bd70a030eda880430edd88ed807dc270fdf01b1cac8761561bdfdb87ee2f2d132e9156de0957a
