module	version	path	sha256	size	strip_prefix
com_acme_app	1.0.0	sources/com_acme_app/1.0.0/com_acme_app-1.0.0.tar.gz	811fb98b9568e41e0b6d76035adad886c4d626206bbe33c676e793bdeed06b1a	75	com_acme_app-1.0.0
telemetry_rules	2.1.0	sources/telemetry_rules/2.1.0/telemetry_rules-2.1.0.tar.gz	a30d0d4c6a32e99dacae9a9825998680bc0115ab78549ba50f98d9e6df199a3d	78	telemetry_rules-2.1.0
rules_java	7.6.0	sources/rules_java/7.6.0/rules_java-7.6.0.tar.gz	3700d9aef75d6f92a6e6c6f57e9bb7eac4ead174eb26b59de8d32bd0bd154db3	73	rules_java-7.6.0
rules_java	7.4.0	sources/rules_java/7.4.0/rules_java-7.4.0.tar.gz	c1b540d634dd033056720364d8ebf59f662d8bac594c6c5c86eaa86c2a1d382f	73	rules_java-7.4.0
bazel_skylib	1.7.1	sources/bazel_skylib/1.7.1/bazel_skylib-1.7.1.tar.gz	eba50226d8e1df57325b131bd89b6c3c9dc8553fab9387c4e8b371255009a230	75	bazel_skylib-1.7.1
bazel_skylib	1.6.1	sources/bazel_skylib/1.6.1/bazel_skylib-1.6.1.tar.gz	885c7dc540739f57be9314b0354ad3d3f02ff561c6fdc91acb0461132900da5c	75	bazel_skylib-1.6.1
protobuf	29.0.0	sources/protobuf/29.0.0/protobuf-29.0.0.tar.gz	5589d3606a2d59c15a1d55ef8c99b469c3cc3740543c8f195efc52bb05b879ad	74	protobuf-29.0.0
protobuf	28.2.0	sources/protobuf/28.2.0/protobuf-28.2.0.tar.gz	4b72bb3e3311c7a1f3d53c16c19053705a3f2bc72b3d20d54faeebdc711e8a17	74	protobuf-28.2.0
rules_proto	6.0.0	sources/rules_proto/6.0.0/rules_proto-6.0.0.tar.gz	89658ba1ceb1d2d7e336a9e2bcea29388c8a954594717ad6f45332b3d68f091e	74	rules_proto-6.0.0
zlib	1.3.1	sources/zlib/1.3.1/zlib-1.3.1.tar.gz	c251a6f014e5592aff91dc23be727e7051e722fa5e05a41f9ad60dc99a0bcc07	60	zlib-1.3.1
zlib	1.2.13	sources/zlib/1.2.13/zlib-1.2.13.tar.gz	651ff4107a894aef8a9f7c4e240afae1b4e97377bd59e0e5452b97a53956082a	61	zlib-1.2.13
linux_sandbox	1.2.0	sources/linux_sandbox/1.2.0/linux_sandbox-1.2.0.tar.gz	6c8f390d9eba750c76a679b9f89981216fc33d6da05cf2b4a5aa09f708fea690	76	linux_sandbox-1.2.0
darwin_support	1.0.0	sources/darwin_support/1.0.0/darwin_support-1.0.0.tar.gz	3eca0f5eebdfffe9f4cc1cc6dec925de5a67635c3eb6fb1395d6f4b1a9a4cf0a	77	darwin_support-1.0.0
lint_tools	0.4.0	sources/lint_tools/0.4.0/lint_tools-0.4.0.tar.gz	4e3dbe6e2f77ed07105338796c6e2f28bd7a77eb8cc7bcafdf72339001f7d916	66	lint_tools-0.4.0
legacy_crypto	0.9.1	sources/legacy_crypto/0.9.1/legacy_crypto-0.9.1.tar.gz	701e2947b8d7e04122ee6640652ccccc932474cbbeb78038ffc1a21a9601d7de	78	legacy_crypto-0.9.1
forbidden_jar	3.0.0	sources/forbidden_jar/3.0.0/forbidden_jar-3.0.0.tar.gz	637f951faa9c2ddf16b6af2ca0f14a90fff356affe5b1ac0634b3104bc293918	73	forbidden_jar-3.0.0
future_rules	9.0.0	sources/future_rules/9.0.0/future_rules-9.0.0.tar.gz	d4311713428248ab0cb44668578b29c42306b20ecf1cd5a8aad6f7107f815c36	75	future_rules-9.0.0
compat_lib	2.0.0	sources/compat_lib/2.0.0/compat_lib-2.0.0.tar.gz	57244d8d71f357a32e9401844e4b5fe1c52e2f97a6feda845ebe2d566339478b	73	compat_lib-2.0.0
compat_lib	1.5.0	sources/compat_lib/1.5.0/compat_lib-1.5.0.tar.gz	321210ee43763f9918e8d96dfb0efd4a64b7778db4ea01fe69ddbb6f12a52b78	73	compat_lib-1.5.0
